correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-d151af7a3617,ClashRoyale,1.0,,USER_DATA_USAGE_MEASURES,2023-01-20T11:20:12Z,192.168.20.100,2023-01-20T11:20:11Z,1628,526,1102,6,4,2,4208 bps,8816 bps,4.00 pps,2.00 pps
corr-d151af7a3617,ClashRoyale,1.0,,USER_DATA_USAGE_MEASURES,2023-01-20T11:20:13Z,192.168.20.100,2023-01-20T11:20:12Z,1732,526,1206,8,4,4,4208 bps,9648 bps,4.00 pps,4.00 pps
corr-d151af7a3617,ClashRoyale,1.0,,USER_DATA_USAGE_MEASURES,2023-01-20T11:20:14Z,192.168.20.100,2023-01-20T11:20:13Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d151af7a3617,ClashRoyale,1.0,,USER_DATA_USAGE_MEASURES,2023-01-20T11:20:15Z,192.168.20.100,2023-01-20T11:20:14Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d151af7a3617,ClashRoyale,1.0,,USER_DATA_USAGE_MEASURES,2023-01-20T11:20:16Z,192.168.20.100,2023-01-20T11:20:15Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d151af7a3617,ClashRoyale,1.0,,USER_DATA_USAGE_MEASURES,2023-01-20T11:20:17Z,192.168.20.100,2023-01-20T11:20:16Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d151af7a3617,ClashRoyale,1.0,,USER_DATA_USAGE_MEASURES,2023-01-20T11:20:18Z,192.168.20.100,2023-01-20T11:20:17Z,814,263,551,3,2,1,2104 bps,4408 bps,2.00 pps,1.00 pps
corr-d151af7a3617,ClashRoyale,1.0,,USER_DATA_USAGE_MEASURES,2023-01-20T11:20:19Z,192.168.20.100,2023-01-20T11:20:18Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d151af7a3617,ClashRoyale,1.0,,USER_DATA_USAGE_MEASURES,2023-01-20T11:20:20Z,192.168.20.100,2023-01-20T11:20:19Z,814,263,551,3,2,1,2104 bps,4408 bps,2.00 pps,1.00 pps
corr-d151af7a3617,ClashRoyale,1.0,,USER_DATA_USAGE_MEASURES,2023-01-20T11:20:21Z,192.168.20.100,2023-01-20T11:20:20Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
