correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-b57cbf6d2883,KakaoTalk,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:59:30Z,192.168.20.100,2022-12-05T15:59:29Z,744,684,60,4,3,1,5472 bps,480 bps,3.00 pps,1.00 pps
corr-6f7b76111be4,KakaoTalk,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:59:31Z,192.168.20.100,2022-12-05T15:59:30Z,6542,1330,5212,19,9,10,10640 bps,41696 bps,9.00 pps,10.00 pps
corr-c9acededce4e,KakaoTalk,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:59:32Z,192.168.20.100,2022-12-05T15:59:31Z,52,0,52,1,0,1,0 bps,416 bps,0.00 pps,1.00 pps
corr-0c64b007b619,KakaoTalk,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:59:30Z,192.168.20.100,2022-12-05T15:59:29Z,60,60,0,1,1,0,480 bps,0 bps,1.00 pps,0.00 pps
corr-b44b95ac5ecc,KakaoTalk,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:59:31Z,192.168.20.100,2022-12-05T15:59:30Z,5965,1212,4753,13,7,6,9696 bps,38024 bps,7.00 pps,6.00 pps
corr-d5665ac7644f,KakaoTalk,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:59:32Z,192.168.20.100,2022-12-05T15:59:31Z,8017,465,7552,12,5,7,3720 bps,60416 bps,5.00 pps,7.00 pps
corr-cdae932abaa6,KakaoTalk,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:59:33Z,192.168.20.100,2022-12-05T15:59:32Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-80eaab36aadc,KakaoTalk,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:59:34Z,192.168.20.100,2022-12-05T15:59:33Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ebace501e066,KakaoTalk,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:59:35Z,192.168.20.100,2022-12-05T15:59:34Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-041f8319100b,KakaoTalk,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:59:36Z,192.168.20.100,2022-12-05T15:59:35Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
