correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:43Z,192.168.20.102,2022-12-05T15:28:42Z,52,52,0,1,1,0,416 bps,0 bps,1.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:44Z,192.168.20.102,2022-12-05T15:28:43Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:45Z,192.168.20.102,2022-12-05T15:28:44Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:46Z,192.168.20.102,2022-12-05T15:28:45Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:47Z,192.168.20.102,2022-12-05T15:28:46Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:48Z,192.168.20.102,2022-12-05T15:28:47Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:49Z,192.168.20.102,2022-12-05T15:28:48Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:50Z,192.168.20.102,2022-12-05T15:28:49Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:51Z,192.168.20.102,2022-12-05T15:28:50Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:52Z,192.168.20.102,2022-12-05T15:28:51Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:53Z,192.168.20.102,2022-12-05T15:28:52Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dac75da4759f,Line,1.0,,USER_DATA_USAGE_MEASURES,2022-12-05T15:28:54Z,192.168.20.102,2022-12-05T15:28:53Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
