correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-af98b9fa63cc,Messenger,1.0,,USER_DATA_USAGE_MEASURES,2021-10-21T10:10:20Z,192.168.20.102,2021-10-21T10:10:19Z,1596,510,1086,6,4,2,4080 bps,8688 bps,4.00 pps,2.00 pps
corr-fb305587b692,Messenger,1.0,,USER_DATA_USAGE_MEASURES,2021-10-21T10:10:21Z,192.168.20.102,2021-10-21T10:10:20Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ab81669f5ab4,Messenger,1.0,,USER_DATA_USAGE_MEASURES,2021-10-21T10:10:22Z,192.168.20.102,2021-10-21T10:10:21Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ae4fcb6ffac7,Messenger,1.0,,USER_DATA_USAGE_MEASURES,2021-10-21T10:10:23Z,192.168.20.102,2021-10-21T10:10:22Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-765d539a2be0,Messenger,1.0,,USER_DATA_USAGE_MEASURES,2021-10-21T10:10:24Z,192.168.20.102,2021-10-21T10:10:23Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-a8d85b9b5829,Messenger,1.0,,USER_DATA_USAGE_MEASURES,2021-10-21T10:10:25Z,192.168.20.102,2021-10-21T10:10:24Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-93df6eb392af,Messenger,1.0,,USER_DATA_USAGE_MEASURES,2021-10-21T10:10:26Z,192.168.20.102,2021-10-21T10:10:25Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-0c34e2f9495e,Messenger,1.0,,USER_DATA_USAGE_MEASURES,2021-10-21T10:10:27Z,192.168.20.102,2021-10-21T10:10:26Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-1b96c3794c23,Messenger,1.0,,USER_DATA_USAGE_MEASURES,2021-10-21T10:10:28Z,192.168.20.102,2021-10-21T10:10:27Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-33fff1925349,Messenger,1.0,,USER_DATA_USAGE_MEASURES,2021-10-21T10:10:29Z,192.168.20.102,2021-10-21T10:10:28Z,798,255,543,3,2,1,2040 bps,4344 bps,2.00 pps,1.00 pps
