correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-454afb049c6d,Omlet,0.011,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:12.643405Z,192.168.20.101,2022-12-16T09:16:12.631940Z,104,52,52,2,1,1,36284 bps,36284 bps,87.22 pps,87.22 pps
corr-2f91373004a6,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:14Z,192.168.20.101,2022-12-16T09:16:13Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-eb1cafa3e499,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:15Z,192.168.20.101,2022-12-16T09:16:14Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-03cc765994c8,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:16Z,192.168.20.101,2022-12-16T09:16:15Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-3388caf065ec,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:17Z,192.168.20.101,2022-12-16T09:16:16Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-5daef60fbbb2,Omlet,0.015,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:17.562563Z,192.168.20.101,2022-12-16T09:16:17.547191Z,239,187,52,4,3,1,97320 bps,27062 bps,195.16 pps,65.05 pps
corr-2791c1d19c99,Omlet,0.063,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:15.235873Z,192.168.20.101,2022-12-16T09:16:15.172436Z,1025,559,466,12,6,6,70495 bps,58767 bps,94.58 pps,94.58 pps
corr-5610994ae663,Omlet,0.138,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:15.359230Z,192.168.20.101,2022-12-16T09:16:15.221435Z,2940,1365,1575,18,9,9,79248 bps,91440 bps,65.31 pps,65.31 pps
corr-8145d21c9c1a,Omlet,0.03,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:15.667062Z,192.168.20.101,2022-12-16T09:16:15.636755Z,135,52,83,2,1,1,13726 bps,21909 bps,33.00 pps,33.00 pps
corr-e0e2cec37708,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:17Z,192.168.20.101,2022-12-16T09:16:16Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-dbc62c99a21d,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:18Z,192.168.20.101,2022-12-16T09:16:17Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-7690b7926241,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:19Z,192.168.20.101,2022-12-16T09:16:18Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-85c9d283a9e8,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:20Z,192.168.20.101,2022-12-16T09:16:19Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-695de7c92fe0,Omlet,0.04,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:20.685690Z,192.168.20.101,2022-12-16T09:16:20.645353Z,104,52,52,2,1,1,10313 bps,10313 bps,24.79 pps,24.79 pps
corr-c51d0c6abdc9,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:22Z,192.168.20.101,2022-12-16T09:16:21Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-8ba7589a1b50,Omlet,0.11,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:22.111465Z,192.168.20.101,2022-12-16T09:16:22.001815Z,215,135,80,4,2,2,9850 bps,5837 bps,18.24 pps,18.24 pps
corr-1ce9c8671142,Omlet,0.034,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:21.996438Z,192.168.20.101,2022-12-16T09:16:21.962320Z,5465,467,4998,11,6,5,109503 bps,1171935 bps,175.86 pps,146.55 pps
corr-7f073fd532d9,Omlet,0.052,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:22.053563Z,192.168.20.101,2022-12-16T09:16:22.001690Z,2830,778,2052,9,4,5,119985 bps,316464 bps,77.11 pps,96.39 pps
corr-4dfe3c019502,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:24Z,192.168.20.101,2022-12-16T09:16:23Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-16e05b08c48d,Omlet,0.119,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:24.512566Z,192.168.20.101,2022-12-16T09:16:24.393939Z,866,263,603,4,2,2,17736 bps,40665 bps,16.86 pps,16.86 pps
corr-03535e17a5ff,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:26Z,192.168.20.101,2022-12-16T09:16:25Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-45be455e873e,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:27Z,192.168.20.101,2022-12-16T09:16:26Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e5da8c1f9f3d,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:28Z,192.168.20.101,2022-12-16T09:16:27Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ce055b94feef,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:29Z,192.168.20.101,2022-12-16T09:16:28Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-86c5e0ba45d9,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:30Z,192.168.20.101,2022-12-16T09:16:29Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-1bc61d352ffb,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:31Z,192.168.20.101,2022-12-16T09:16:30Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-079abf6e0762,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:32Z,192.168.20.101,2022-12-16T09:16:31Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-296ee3d46bc6,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:33Z,192.168.20.101,2022-12-16T09:16:32Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-3ff220820734,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:34Z,192.168.20.101,2022-12-16T09:16:33Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-9ceab5ef3861,Omlet,1,,USER_DATA_USAGE_MEASURES,2022-12-16T09:16:35Z,192.168.20.101,2022-12-16T09:16:34Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
