correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-261d7a2757bd,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:31Z,192.168.20.100,2022-11-18T11:14:30Z,104,52,52,2,1,1,416 bps,416 bps,1.00 pps,1.00 pps
corr-9ab517ff48f0,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:32Z,192.168.20.100,2022-11-18T11:14:31Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-8c4e2e16d737,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:33Z,192.168.20.100,2022-11-18T11:14:32Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-6ef32647ab4b,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:34Z,192.168.20.100,2022-11-18T11:14:33Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-fee398ac9633,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:35Z,192.168.20.100,2022-11-18T11:14:34Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-c0f36ccdeeb7,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:36Z,192.168.20.100,2022-11-18T11:14:35Z,239,187,52,4,3,1,1496 bps,416 bps,3.00 pps,1.00 pps
corr-b7de001fa69d,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:34Z,192.168.20.100,2022-11-18T11:14:33Z,104,52,52,2,1,1,416 bps,416 bps,1.00 pps,1.00 pps
corr-69bec5316ad4,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:35Z,192.168.20.100,2022-11-18T11:14:34Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-f6afc9c7520d,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:36Z,192.168.20.100,2022-11-18T11:14:35Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-4b30944f7c16,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:37Z,192.168.20.100,2022-11-18T11:14:36Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-c15a9e007ddb,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:38Z,192.168.20.100,2022-11-18T11:14:37Z,105,64,41,2,1,1,512 bps,328 bps,1.00 pps,1.00 pps
corr-0609b773d554,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:39Z,192.168.20.100,2022-11-18T11:14:38Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-404ff2479d79,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:40Z,192.168.20.100,2022-11-18T11:14:39Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-773dca1016ea,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:41Z,192.168.20.100,2022-11-18T11:14:40Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-b8472d6be7e0,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:42Z,192.168.20.100,2022-11-18T11:14:41Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-f2403f75142e,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:43Z,192.168.20.100,2022-11-18T11:14:42Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ca0ffb6811aa,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:44Z,192.168.20.100,2022-11-18T11:14:43Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-98dd349b0fa1,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:45Z,192.168.20.100,2022-11-18T11:14:44Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-f08fe88fef3e,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:46Z,192.168.20.100,2022-11-18T11:14:45Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-8d526eb9f9dd,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:47Z,192.168.20.100,2022-11-18T11:14:46Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-354ae3ba849a,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:48Z,192.168.20.100,2022-11-18T11:14:47Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-f8c305e0c893,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:49Z,192.168.20.100,2022-11-18T11:14:48Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-6573c6f45943,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:50Z,192.168.20.100,2022-11-18T11:14:49Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2b6c45305f39,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:51Z,192.168.20.100,2022-11-18T11:14:50Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e9f10d05269b,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:52Z,192.168.20.100,2022-11-18T11:14:51Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-f1f5e9392c49,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:53Z,192.168.20.100,2022-11-18T11:14:52Z,1120,104,1016,4,2,2,832 bps,8128 bps,2.00 pps,2.00 pps
corr-47afd0ba2ff9,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:54Z,192.168.20.100,2022-11-18T11:14:53Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-41c5321ec69a,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:55Z,192.168.20.100,2022-11-18T11:14:54Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-84b5a74b2d6a,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:56Z,192.168.20.100,2022-11-18T11:14:55Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-6a2f1908cd36,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:57Z,192.168.20.100,2022-11-18T11:14:56Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e3a3f9bb26d2,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:58Z,192.168.20.100,2022-11-18T11:14:57Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-9b6fc3a0245e,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:14:59Z,192.168.20.100,2022-11-18T11:14:58Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-3a5952a3268f,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:00Z,192.168.20.100,2022-11-18T11:14:59Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-95d338cc4abb,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:01Z,192.168.20.100,2022-11-18T11:15:00Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-c33cf7e66d63,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:02Z,192.168.20.100,2022-11-18T11:15:01Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2ae7faf3aa09,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:03Z,192.168.20.100,2022-11-18T11:15:02Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d53c37ab3eda,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:04Z,192.168.20.100,2022-11-18T11:15:03Z,1220,652,568,5,3,2,5216 bps,4544 bps,3.00 pps,2.00 pps
corr-41528ab64924,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:05Z,192.168.20.100,2022-11-18T11:15:04Z,672,280,392,4,2,2,2240 bps,3136 bps,2.00 pps,2.00 pps
corr-3c5cebf9b5e6,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:06Z,192.168.20.100,2022-11-18T11:15:05Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-1d7118c31ebd,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:07Z,192.168.20.100,2022-11-18T11:15:06Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-0f0cf07c7671,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:08Z,192.168.20.100,2022-11-18T11:15:07Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d66f7043a582,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:09Z,192.168.20.100,2022-11-18T11:15:08Z,312,260,52,2,1,1,2080 bps,416 bps,1.00 pps,1.00 pps
corr-fc9a41274199,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:10Z,192.168.20.100,2022-11-18T11:15:09Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e27c805ce6bd,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:11Z,192.168.20.100,2022-11-18T11:15:10Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-a05c696ef1ff,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:12Z,192.168.20.100,2022-11-18T11:15:11Z,1960,156,1804,6,3,3,1248 bps,14432 bps,3.00 pps,3.00 pps
corr-b30a54d26e41,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:13Z,192.168.20.100,2022-11-18T11:15:12Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-229f2a8a1641,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:14Z,192.168.20.100,2022-11-18T11:15:13Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-628428d7c3e2,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:15Z,192.168.20.100,2022-11-18T11:15:14Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-6235a8c6e6ff,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:16Z,192.168.20.100,2022-11-18T11:15:15Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-24a2f6232a39,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:17Z,192.168.20.100,2022-11-18T11:15:16Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e1ad3d52ed90,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:18Z,192.168.20.100,2022-11-18T11:15:17Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-5f250a1385a7,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:19Z,192.168.20.100,2022-11-18T11:15:18Z,328,276,52,2,1,1,2208 bps,416 bps,1.00 pps,1.00 pps
corr-67c3342b17af,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:20Z,192.168.20.100,2022-11-18T11:15:19Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-3a91742f875c,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:21Z,192.168.20.100,2022-11-18T11:15:20Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-b63600aca872,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:22Z,192.168.20.100,2022-11-18T11:15:21Z,376,52,324,2,1,1,416 bps,2592 bps,1.00 pps,1.00 pps
corr-deddb9930e17,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:23Z,192.168.20.100,2022-11-18T11:15:22Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-536db736694d,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:24Z,192.168.20.100,2022-11-18T11:15:23Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-118c444ac8dd,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:25Z,192.168.20.100,2022-11-18T11:15:24Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-6c9001dc3df6,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:26Z,192.168.20.100,2022-11-18T11:15:25Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-a11efd6ca515,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:27Z,192.168.20.100,2022-11-18T11:15:26Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-710c9f9a9e5f,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:28Z,192.168.20.100,2022-11-18T11:15:27Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-f89bb850947c,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:29Z,192.168.20.100,2022-11-18T11:15:28Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-effb3f8da23c,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:30Z,192.168.20.100,2022-11-18T11:15:29Z,312,260,52,2,1,1,2080 bps,416 bps,1.00 pps,1.00 pps
corr-16d3ef309074,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:31Z,192.168.20.100,2022-11-18T11:15:30Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-00b8b942e09d,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:32Z,192.168.20.100,2022-11-18T11:15:31Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-03a01c3ae8c6,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:33Z,192.168.20.100,2022-11-18T11:15:32Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-564a7a82c4fa,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:34Z,192.168.20.100,2022-11-18T11:15:33Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d26bbd598108,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:35Z,192.168.20.100,2022-11-18T11:15:34Z,328,276,52,2,1,1,2208 bps,416 bps,1.00 pps,1.00 pps
corr-e58270063d65,Trueconf,1.0,,USER_DATA_USAGE_MEASURES,2022-11-18T11:15:36Z,192.168.20.100,2022-11-18T11:15:35Z,312,260,52,2,1,1,2080 bps,416 bps,1.00 pps,1.00 pps
