window_index,start_time,end_time,ue_ip,ground_truth_labels
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.1,audiocall
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.2,gaming-online
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.3,audiocall
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.1,audiocall
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.2,gaming-online
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.3,idle
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.1,audiocall
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.2,gaming-online
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.3,idle
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.1,audiocall
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.2,gaming-online
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.3,idle
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.1,idle
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.2,gaming-online
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.3,idle
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.1,idle
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.2,gaming-online
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.3,idle
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.1,idle
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.2,gaming-online
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.3,idle
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.1,idle
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.2,gaming-online
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.3,idle
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.1,audiocall
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.2,gaming-online
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.3,idle
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.1,audiocall
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.2,gaming-online
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.3,idle
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.1,idle
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.2,gaming-online
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.3,idle
11,2026-02-26T09:43:34Z,2026-02-26T09:43:39Z,10.0.0.1,idle
11,2026-02-26T09:43:34Z,2026-02-26T09:43:39Z,10.0.0.2,gaming-online
11,2026-02-26T09:43:34Z,2026-02-26T09:43:39Z,10.0.0.3,idle
12,2026-02-26T09:43:39Z,2026-02-26T09:43:44Z,10.0.0.1,idle
12,2026-02-26T09:43:39Z,2026-02-26T09:43:44Z,10.0.0.2,gaming-online
12,2026-02-26T09:43:39Z,2026-02-26T09:43:44Z,10.0.0.3,idle
13,2026-02-26T09:43:44Z,2026-02-26T09:43:49Z,10.0.0.1,audiocall
13,2026-02-26T09:43:44Z,2026-02-26T09:43:49Z,10.0.0.2,gaming-online
13,2026-02-26T09:43:44Z,2026-02-26T09:43:49Z,10.0.0.3,audiocall
14,2026-02-26T09:43:49Z,2026-02-26T09:43:54Z,10.0.0.1,idle
14,2026-02-26T09:43:49Z,2026-02-26T09:43:54Z,10.0.0.2,gaming-online
14,2026-02-26T09:43:49Z,2026-02-26T09:43:54Z,10.0.0.3,idle
15,2026-02-26T09:43:54Z,2026-02-26T09:43:59Z,10.0.0.1,idle
15,2026-02-26T09:43:54Z,2026-02-26T09:43:59Z,10.0.0.2,gaming-online
15,2026-02-26T09:43:54Z,2026-02-26T09:43:59Z,10.0.0.3,idle
16,2026-02-26T09:43:59Z,2026-02-26T09:44:04Z,10.0.0.1,idle
16,2026-02-26T09:43:59Z,2026-02-26T09:44:04Z,10.0.0.2,gaming-online
16,2026-02-26T09:43:59Z,2026-02-26T09:44:04Z,10.0.0.3,idle
17,2026-02-26T09:44:04Z,2026-02-26T09:44:09Z,10.0.0.1,audiocall
17,2026-02-26T09:44:04Z,2026-02-26T09:44:09Z,10.0.0.2,gaming-online
17,2026-02-26T09:44:04Z,2026-02-26T09:44:09Z,10.0.0.3,idle
18,2026-02-26T09:44:09Z,2026-02-26T09:44:14Z,10.0.0.1,idle
18,2026-02-26T09:44:09Z,2026-02-26T09:44:14Z,10.0.0.2,chat|gaming-online|videocall
18,2026-02-26T09:44:09Z,2026-02-26T09:44:14Z,10.0.0.3,idle
19,2026-02-26T09:44:14Z,2026-02-26T09:44:19Z,10.0.0.1,idle
19,2026-02-26T09:44:14Z,2026-02-26T09:44:19Z,10.0.0.2,videocall
19,2026-02-26T09:44:14Z,2026-02-26T09:44:19Z,10.0.0.3,idle
20,2026-02-26T09:44:19Z,2026-02-26T09:44:24Z,10.0.0.1,idle
20,2026-02-26T09:44:19Z,2026-02-26T09:44:24Z,10.0.0.2,videocall
20,2026-02-26T09:44:19Z,2026-02-26T09:44:24Z,10.0.0.3,idle
21,2026-02-26T09:44:24Z,2026-02-26T09:44:29Z,10.0.0.1,directions|videocall
21,2026-02-26T09:44:24Z,2026-02-26T09:44:29Z,10.0.0.2,videocall
21,2026-02-26T09:44:24Z,2026-02-26T09:44:29Z,10.0.0.3,idle
22,2026-02-26T09:44:29Z,2026-02-26T09:44:34Z,10.0.0.1,directions|videocall
22,2026-02-26T09:44:29Z,2026-02-26T09:44:34Z,10.0.0.2,videocall
22,2026-02-26T09:44:29Z,2026-02-26T09:44:34Z,10.0.0.3,idle
23,2026-02-26T09:44:34Z,2026-02-26T09:44:39Z,10.0.0.1,directions|videocall
23,2026-02-26T09:44:34Z,2026-02-26T09:44:39Z,10.0.0.2,videocall
23,2026-02-26T09:44:34Z,2026-02-26T09:44:39Z,10.0.0.3,idle
24,2026-02-26T09:44:39Z,2026-02-26T09:44:44Z,10.0.0.1,directions|videocall
24,2026-02-26T09:44:39Z,2026-02-26T09:44:44Z,10.0.0.2,videocall
24,2026-02-26T09:44:39Z,2026-02-26T09:44:44Z,10.0.0.3,idle
25,2026-02-26T09:44:44Z,2026-02-26T09:44:49Z,10.0.0.1,directions|videocall
25,2026-02-26T09:44:44Z,2026-02-26T09:44:49Z,10.0.0.2,videocall
25,2026-02-26T09:44:44Z,2026-02-26T09:44:49Z,10.0.0.3,audiocall
26,2026-02-26T09:44:49Z,2026-02-26T09:44:54Z,10.0.0.1,directions|videocall
26,2026-02-26T09:44:49Z,2026-02-26T09:44:54Z,10.0.0.2,videocall
26,2026-02-26T09:44:49Z,2026-02-26T09:44:54Z,10.0.0.3,idle
27,2026-02-26T09:44:54Z,2026-02-26T09:44:59Z,10.0.0.1,directions|videocall
27,2026-02-26T09:44:54Z,2026-02-26T09:44:59Z,10.0.0.2,videocall
27,2026-02-26T09:44:54Z,2026-02-26T09:44:59Z,10.0.0.3,search|video-streaming
28,2026-02-26T09:44:59Z,2026-02-26T09:45:04Z,10.0.0.1,directions|videocall
28,2026-02-26T09:44:59Z,2026-02-26T09:45:04Z,10.0.0.2,videocall
28,2026-02-26T09:44:59Z,2026-02-26T09:45:04Z,10.0.0.3,search
29,2026-02-26T09:45:04Z,2026-02-26T09:45:09Z,10.0.0.1,directions|videocall
29,2026-02-26T09:45:04Z,2026-02-26T09:45:09Z,10.0.0.2,videocall
29,2026-02-26T09:45:04Z,2026-02-26T09:45:09Z,10.0.0.3,search
30,2026-02-26T09:45:09Z,2026-02-26T09:45:14Z,10.0.0.1,directions|videocall
30,2026-02-26T09:45:09Z,2026-02-26T09:45:14Z,10.0.0.2,videocall
30,2026-02-26T09:45:09Z,2026-02-26T09:45:14Z,10.0.0.3,search
31,2026-02-26T09:45:14Z,2026-02-26T09:45:19Z,10.0.0.1,directions|videocall
31,2026-02-26T09:45:14Z,2026-02-26T09:45:19Z,10.0.0.2,chat|videocall
31,2026-02-26T09:45:14Z,2026-02-26T09:45:19Z,10.0.0.3,search
32,2026-02-26T09:45:19Z,2026-02-26T09:45:24Z,10.0.0.1,directions|videocall
32,2026-02-26T09:45:19Z,2026-02-26T09:45:24Z,10.0.0.2,videocall
32,2026-02-26T09:45:19Z,2026-02-26T09:45:24Z,10.0.0.3,search
33,2026-02-26T09:45:24Z,2026-02-26T09:45:29Z,10.0.0.1,directions|videocall
33,2026-02-26T09:45:24Z,2026-02-26T09:45:29Z,10.0.0.2,videocall
33,2026-02-26T09:45:24Z,2026-02-26T09:45:29Z,10.0.0.3,search
34,2026-02-26T09:45:29Z,2026-02-26T09:45:34Z,10.0.0.1,directions
34,2026-02-26T09:45:29Z,2026-02-26T09:45:34Z,10.0.0.2,videocall
34,2026-02-26T09:45:29Z,2026-02-26T09:45:34Z,10.0.0.3,search
35,2026-02-26T09:45:34Z,2026-02-26T09:45:39Z,10.0.0.1,directions
35,2026-02-26T09:45:34Z,2026-02-26T09:45:39Z,10.0.0.2,videocall
35,2026-02-26T09:45:34Z,2026-02-26T09:45:39Z,10.0.0.3,search
36,2026-02-26T09:45:39Z,2026-02-26T09:45:44Z,10.0.0.1,directions
36,2026-02-26T09:45:39Z,2026-02-26T09:45:44Z,10.0.0.2,videocall
36,2026-02-26T09:45:39Z,2026-02-26T09:45:44Z,10.0.0.3,search
37,2026-02-26T09:45:44Z,2026-02-26T09:45:49Z,10.0.0.1,directions
37,2026-02-26T09:45:44Z,2026-02-26T09:45:49Z,10.0.0.2,gaming-online|video-streaming|videocall
37,2026-02-26T09:45:44Z,2026-02-26T09:45:49Z,10.0.0.3,search
