correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:42Z,10.145.102.237,2019-03-31T04:08:41Z,392,222,170,5,3,2,1776 bps,1360 bps,3.00 pps,2.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:43Z,10.145.102.237,2019-03-31T04:08:42Z,10366,2162,8204,25,10,15,17296 bps,65632 bps,10.00 pps,15.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:44Z,10.145.102.237,2019-03-31T04:08:43Z,6383,2064,4319,16,6,10,16512 bps,34552 bps,6.00 pps,10.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:45Z,10.145.102.237,2019-03-31T04:08:44Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:46Z,10.145.102.237,2019-03-31T04:08:45Z,6158,2078,4080,26,14,12,16624 bps,32640 bps,14.00 pps,12.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:47Z,10.145.102.237,2019-03-31T04:08:46Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:48Z,10.145.102.237,2019-03-31T04:08:47Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:49Z,10.145.102.237,2019-03-31T04:08:48Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:50Z,10.145.102.237,2019-03-31T04:08:49Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:51Z,10.145.102.237,2019-03-31T04:08:50Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:52Z,10.145.102.237,2019-03-31T04:08:51Z,347,180,167,5,3,2,1440 bps,1336 bps,3.00 pps,2.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:53Z,10.145.102.237,2019-03-31T04:08:52Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:54Z,10.145.102.237,2019-03-31T04:08:53Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:55Z,10.145.102.237,2019-03-31T04:08:54Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:56Z,10.145.102.237,2019-03-31T04:08:55Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:57Z,10.145.102.237,2019-03-31T04:08:56Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:58Z,10.145.102.237,2019-03-31T04:08:57Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:08:59Z,10.145.102.237,2019-03-31T04:08:58Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:00Z,10.145.102.237,2019-03-31T04:08:59Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:01Z,10.145.102.237,2019-03-31T04:09:00Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:02Z,10.145.102.237,2019-03-31T04:09:01Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:03Z,10.145.102.237,2019-03-31T04:09:02Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:04Z,10.145.102.237,2019-03-31T04:09:03Z,3514,2022,1492,12,4,8,16176 bps,11936 bps,4.00 pps,8.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:05Z,10.145.102.237,2019-03-31T04:09:04Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:06Z,10.145.102.237,2019-03-31T04:09:05Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:07Z,10.145.102.237,2019-03-31T04:09:06Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:08Z,10.145.102.237,2019-03-31T04:09:07Z,8035,2126,5909,23,11,12,17008 bps,47272 bps,11.00 pps,12.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:09Z,10.145.102.237,2019-03-31T04:09:08Z,14979,3976,11003,43,20,23,31808 bps,88024 bps,20.00 pps,23.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:10Z,10.145.102.237,2019-03-31T04:09:09Z,19267,12392,6875,59,29,30,99136 bps,55000 bps,29.00 pps,30.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:11Z,10.145.102.237,2019-03-31T04:09:10Z,46123,5152,40971,75,38,37,41216 bps,327768 bps,38.00 pps,37.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:12Z,10.145.102.237,2019-03-31T04:09:11Z,3188,2105,1083,12,5,7,16840 bps,8664 bps,5.00 pps,7.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:13Z,10.145.102.237,2019-03-31T04:09:12Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:14Z,10.145.102.237,2019-03-31T04:09:13Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:15Z,10.145.102.237,2019-03-31T04:09:14Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:16Z,10.145.102.237,2019-03-31T04:09:15Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:17Z,10.145.102.237,2019-03-31T04:09:16Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:18Z,10.145.102.237,2019-03-31T04:09:17Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:19Z,10.145.102.237,2019-03-31T04:09:18Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:20Z,10.145.102.237,2019-03-31T04:09:19Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:21Z,10.145.102.237,2019-03-31T04:09:20Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:22Z,10.145.102.237,2019-03-31T04:09:21Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:23Z,10.145.102.237,2019-03-31T04:09:22Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:24Z,10.145.102.237,2019-03-31T04:09:23Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-003273e7515f,gmail_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:09:25Z,10.145.102.237,2019-03-31T04:09:24Z,2766,1433,1333,8,4,4,11464 bps,10664 bps,4.00 pps,4.00 pps
