correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-ebcc7aca3879,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:23:55Z,10.145.102.237,2019-03-31T04:23:54Z,7596,3178,4418,17,10,7,25424 bps,35344 bps,10.00 pps,7.00 pps
corr-bb8f08bfe7f8,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:23:56Z,10.145.102.237,2019-03-31T04:23:55Z,16294,4328,11966,59,28,31,34624 bps,95728 bps,28.00 pps,31.00 pps
corr-90d3a7c25517,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:23:57Z,10.145.102.237,2019-03-31T04:23:56Z,32410,3223,29187,72,28,44,25784 bps,233496 bps,28.00 pps,44.00 pps
corr-9b44dcb5ed3e,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:23:58Z,10.145.102.237,2019-03-31T04:23:57Z,4375,2253,2122,13,5,8,18024 bps,16976 bps,5.00 pps,8.00 pps
corr-cb0a8efbbb97,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:23:59Z,10.145.102.237,2019-03-31T04:23:58Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-05033689bd72,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:24:00Z,10.145.102.237,2019-03-31T04:23:59Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-97ce44b6acdf,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:24:01Z,10.145.102.237,2019-03-31T04:24:00Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-5ab77bd81f05,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:24:02Z,10.145.102.237,2019-03-31T04:24:01Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-0de693b4a8bf,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:24:03Z,10.145.102.237,2019-03-31T04:24:02Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ffd053d4e9fa,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:24:04Z,10.145.102.237,2019-03-31T04:24:03Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-24b0691954a3,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:24:05Z,10.145.102.237,2019-03-31T04:24:04Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-fa4b8befe7da,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:24:06Z,10.145.102.237,2019-03-31T04:24:05Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-da17fa47ad6f,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:24:07Z,10.145.102.237,2019-03-31T04:24:06Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-51ac6bf43e20,google-drive_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:24:08Z,10.145.102.237,2019-03-31T04:24:07Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
