correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:34Z,10.148.245.180,2019-03-31T14:15:33Z,7870,3127,4743,25,13,12,25016 bps,37944 bps,13.00 pps,12.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:35Z,10.148.245.180,2019-03-31T14:15:34Z,8957,2619,6338,25,12,13,20952 bps,50704 bps,12.00 pps,13.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:36Z,10.148.245.180,2019-03-31T14:15:35Z,2043,1058,985,8,4,4,8464 bps,7880 bps,4.00 pps,4.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:37Z,10.148.245.180,2019-03-31T14:15:36Z,70022,8689,61333,80,20,60,69512 bps,490664 bps,20.00 pps,60.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:38Z,10.148.245.180,2019-03-31T14:15:37Z,120365,20465,99900,204,101,103,163720 bps,799200 bps,101.00 pps,103.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:39Z,10.148.245.180,2019-03-31T14:15:38Z,223262,13782,209480,286,111,175,110256 bps,1675840 bps,111.00 pps,175.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:40Z,10.148.245.180,2019-03-31T14:15:39Z,229267,18520,210747,289,109,180,148160 bps,1685976 bps,109.00 pps,180.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:41Z,10.148.245.180,2019-03-31T14:15:40Z,355252,13971,341281,409,138,271,111768 bps,2730248 bps,138.00 pps,271.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:42Z,10.148.245.180,2019-03-31T14:15:41Z,398700,13230,385470,457,145,312,105840 bps,3083760 bps,145.00 pps,312.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:43Z,10.148.245.180,2019-03-31T14:15:42Z,421223,16283,404940,517,187,330,130264 bps,3239520 bps,187.00 pps,330.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:44Z,10.148.245.180,2019-03-31T14:15:43Z,244482,10308,234174,302,105,197,82464 bps,1873392 bps,105.00 pps,197.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:45Z,10.148.245.180,2019-03-31T14:15:44Z,238284,11264,227020,278,97,181,90112 bps,1816160 bps,97.00 pps,181.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:46Z,10.148.245.180,2019-03-31T14:15:45Z,447545,12633,434912,468,147,321,101064 bps,3479296 bps,147.00 pps,321.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:47Z,10.148.245.180,2019-03-31T14:15:46Z,21837,5415,16422,68,41,27,43320 bps,131376 bps,41.00 pps,27.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:48Z,10.148.245.180,2019-03-31T14:15:47Z,7705,4576,3129,38,22,16,36608 bps,25032 bps,22.00 pps,16.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:49Z,10.148.245.180,2019-03-31T14:15:48Z,78067,5573,72494,113,49,64,44584 bps,579952 bps,49.00 pps,64.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:50Z,10.148.245.180,2019-03-31T14:15:49Z,2632,1884,748,6,4,2,15072 bps,5984 bps,4.00 pps,2.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:51Z,10.148.245.180,2019-03-31T14:15:50Z,14345,11103,3242,44,23,21,88824 bps,25936 bps,23.00 pps,21.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:52Z,10.148.245.180,2019-03-31T14:15:51Z,10097,8286,1811,28,14,14,66288 bps,14488 bps,14.00 pps,14.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:53Z,10.148.245.180,2019-03-31T14:15:52Z,1414,68,1346,3,1,2,544 bps,10768 bps,1.00 pps,2.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:54Z,10.148.245.180,2019-03-31T14:15:53Z,254266,7240,247026,275,94,181,57920 bps,1976208 bps,94.00 pps,181.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:55Z,10.148.245.180,2019-03-31T14:15:54Z,251989,7397,244592,281,95,186,59176 bps,1956736 bps,95.00 pps,186.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:56Z,10.148.245.180,2019-03-31T14:15:55Z,112534,6272,106262,136,48,88,50176 bps,850096 bps,48.00 pps,88.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:57Z,10.148.245.180,2019-03-31T14:15:56Z,29495,803,28692,33,11,22,6424 bps,229536 bps,11.00 pps,22.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:58Z,10.148.245.180,2019-03-31T14:15:57Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:15:59Z,10.148.245.180,2019-03-31T14:15:58Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:00Z,10.148.245.180,2019-03-31T14:15:59Z,8705,1912,6793,18,10,8,15296 bps,54344 bps,10.00 pps,8.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:01Z,10.148.245.180,2019-03-31T14:16:00Z,135,67,68,2,1,1,536 bps,544 bps,1.00 pps,1.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:02Z,10.148.245.180,2019-03-31T14:16:01Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:03Z,10.148.245.180,2019-03-31T14:16:02Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:04Z,10.148.245.180,2019-03-31T14:16:03Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:05Z,10.148.245.180,2019-03-31T14:16:04Z,675,675,0,1,1,0,5400 bps,0 bps,1.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:06Z,10.148.245.180,2019-03-31T14:16:05Z,1322,230,1092,8,3,5,1840 bps,8736 bps,3.00 pps,5.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:07Z,10.148.245.180,2019-03-31T14:16:06Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:08Z,10.148.245.180,2019-03-31T14:16:07Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:09Z,10.148.245.180,2019-03-31T14:16:08Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:10Z,10.148.245.180,2019-03-31T14:16:09Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:11Z,10.148.245.180,2019-03-31T14:16:10Z,265,134,131,4,2,2,1072 bps,1048 bps,2.00 pps,2.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:12Z,10.148.245.180,2019-03-31T14:16:11Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:13Z,10.148.245.180,2019-03-31T14:16:12Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:14Z,10.148.245.180,2019-03-31T14:16:13Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:15Z,10.148.245.180,2019-03-31T14:16:14Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:16Z,10.148.245.180,2019-03-31T14:16:15Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:17Z,10.148.245.180,2019-03-31T14:16:16Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:18Z,10.148.245.180,2019-03-31T14:16:17Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:19Z,10.148.245.180,2019-03-31T14:16:18Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2e7234b5d094,google-maps_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T14:16:20Z,10.148.245.180,2019-03-31T14:16:19Z,1910,895,1015,10,5,5,7160 bps,8120 bps,5.00 pps,5.00 pps
