correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-dc67740b3939,hangout_manual,0.012,10.148.245.180:37538.0-128.83.185.41:53.0,USER_DATA_USAGE_MEASURES,2019-03-31T14:07:47.635700Z,10.148.245.180,2019-03-31T14:07:47.624000Z,202,81,121,2,1,1,55385 bps,82736 bps,85.47 pps,85.47 pps
corr-f97375483926,hangout_manual,0.244,10.148.245.180:58862.0-172.217.14.174:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T14:07:47.883300Z,10.148.245.180,2019-03-31T14:07:47.639500Z,5930,1376,4554,18,10,8,45152 bps,149434 bps,41.02 pps,32.81 pps
corr-ed4d233eab03,hangout_manual,1,10.148.245.180:58862.0-172.217.14.174:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T14:07:49Z,10.148.245.180,2019-03-31T14:07:48Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-93162a032178,hangout_manual,1,10.148.245.180:58862.0-172.217.14.174:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T14:07:50Z,10.148.245.180,2019-03-31T14:07:49Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-7b18afaa87d2,hangout_manual,1,10.148.245.180:58862.0-172.217.14.174:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T14:07:51Z,10.148.245.180,2019-03-31T14:07:50Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-46361eaf2abc,hangout_manual,1,10.148.245.180:58862.0-172.217.14.174:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T14:07:52Z,10.148.245.180,2019-03-31T14:07:51Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-1859d16587b5,hangout_manual,1,10.148.245.180:58862.0-172.217.14.174:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T14:07:53Z,10.148.245.180,2019-03-31T14:07:52Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ff71869ff759,hangout_manual,1,10.148.245.180:58862.0-172.217.14.174:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T14:07:54Z,10.148.245.180,2019-03-31T14:07:53Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-21da32146eb5,hangout_manual,1,10.148.245.180:58862.0-172.217.14.174:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T14:07:55Z,10.148.245.180,2019-03-31T14:07:54Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-13c0ff151288,hangout_manual,1,10.148.245.180:58862.0-172.217.14.174:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T14:07:56Z,10.148.245.180,2019-03-31T14:07:55Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
