correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-e0aea6477854,instagram_manual,0.013,10.145.102.237:41275.0-128.83.185.40:53.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:09.368400Z,10.145.102.237,2019-03-31T05:03:09.355400Z,208,77,131,2,1,1,47385 bps,80615 bps,76.92 pps,76.92 pps
corr-da9deba05973,instagram_manual,0.625,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:09.998900Z,10.145.102.237,2019-03-31T05:03:09.374200Z,10393,8870,1523,31,18,13,113591 bps,19504 bps,28.81 pps,20.81 pps
corr-2ae8f8a8ee74,instagram_manual,0.913,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:10.931300Z,10.145.102.237,2019-03-31T05:03:10.017900Z,68160,40842,27318,97,56,41,357714 bps,239264 bps,61.31 pps,44.89 pps
corr-be6478814957,instagram_manual,0.818,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:11.999900Z,10.145.102.237,2019-03-31T05:03:11.181500Z,25686,15269,10417,70,37,33,149257 bps,101828 bps,45.21 pps,40.32 pps
corr-35ee9ef9b8e7,instagram_manual,0.915,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:12.915900Z,10.145.102.237,2019-03-31T05:03:12.000500Z,8544,2912,5632,32,16,16,25449 bps,49220 bps,17.48 pps,17.48 pps
corr-c164e2b38ce7,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:14Z,10.145.102.237,2019-03-31T05:03:13Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-c1e83db88748,instagram_manual,0.136,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:14.193100Z,10.145.102.237,2019-03-31T05:03:14.056600Z,57136,2856,54280,84,42,42,167385 bps,3181248 bps,307.69 pps,307.69 pps
corr-669beed98d7b,instagram_manual,0.002,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:15.332600Z,10.145.102.237,2019-03-31T05:03:15.330400Z,2521,136,2385,4,2,2,494517 bps,8672228 bps,909.04 pps,909.04 pps
corr-1a2f001d5c0a,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:17Z,10.145.102.237,2019-03-31T05:03:16Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-cd76c37a11a6,instagram_manual,0.132,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:17.835300Z,10.145.102.237,2019-03-31T05:03:17.703800Z,1118,637,481,5,3,2,38753 bps,29262 bps,22.81 pps,15.21 pps
corr-1978e35c8fcc,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:19Z,10.145.102.237,2019-03-31T05:03:18Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-b0e48e2d8114,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:20Z,10.145.102.237,2019-03-31T05:03:19Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ab05aef12043,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:21Z,10.145.102.237,2019-03-31T05:03:20Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2b446bca4a41,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:22Z,10.145.102.237,2019-03-31T05:03:21Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e00e59df589b,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:23Z,10.145.102.237,2019-03-31T05:03:22Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-0f9ffbd7dcf8,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:24Z,10.145.102.237,2019-03-31T05:03:23Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e972aa83c8ba,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:25Z,10.145.102.237,2019-03-31T05:03:24Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-80d701f174f2,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:26Z,10.145.102.237,2019-03-31T05:03:25Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ef0b84ad5526,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:27Z,10.145.102.237,2019-03-31T05:03:26Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-5faae6c25c3e,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:28Z,10.145.102.237,2019-03-31T05:03:27Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e70e5abdb0c1,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:29Z,10.145.102.237,2019-03-31T05:03:28Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-c098d2eceb31,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:30Z,10.145.102.237,2019-03-31T05:03:29Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-5ad3da295b71,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:31Z,10.145.102.237,2019-03-31T05:03:30Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-a2063a549da3,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:32Z,10.145.102.237,2019-03-31T05:03:31Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-50ac05941b76,instagram_manual,0.148,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:32.993800Z,10.145.102.237,2019-03-31T05:03:32.846300Z,3101,695,2406,11,6,5,37695 bps,130495 bps,40.68 pps,33.90 pps
corr-eac7f333e716,instagram_manual,0.385,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:33.472400Z,10.145.102.237,2019-03-31T05:03:33.087400Z,11852,6458,5394,27,15,12,134192 bps,112083 bps,38.96 pps,31.17 pps
corr-5de9e4a3e757,instagram_manual,0.039,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:34.812400Z,10.145.102.237,2019-03-31T05:03:34.773000Z,27663,1428,26235,42,21,21,289948 bps,5326890 bps,532.99 pps,532.99 pps
corr-08a8dd81feb8,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:36Z,10.145.102.237,2019-03-31T05:03:35Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-bbfcbc0d04e8,instagram_manual,1,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:37Z,10.145.102.237,2019-03-31T05:03:36Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-9573cee62c63,instagram_manual,0.025,10.145.102.237:38252.0-157.240.19.63:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T05:03:37.219200Z,10.145.102.237,2019-03-31T05:03:37.193700Z,1921,1750,171,5,3,2,549023 bps,53647 bps,117.65 pps,78.43 pps
