correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:48Z,10.145.102.237,2019-03-31T04:00:47Z,28858,7428,21430,88,45,43,59424 bps,171440 bps,45.00 pps,43.00 pps
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:49Z,10.145.102.237,2019-03-31T04:00:48Z,9686,2575,7111,38,20,18,20600 bps,56888 bps,20.00 pps,18.00 pps
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:50Z,10.145.102.237,2019-03-31T04:00:49Z,2750,1721,1029,17,10,7,13768 bps,8232 bps,10.00 pps,7.00 pps
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:51Z,10.145.102.237,2019-03-31T04:00:50Z,6766,1559,5207,24,12,12,12472 bps,41656 bps,12.00 pps,12.00 pps
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:52Z,10.145.102.237,2019-03-31T04:00:51Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:53Z,10.145.102.237,2019-03-31T04:00:52Z,878,216,662,6,3,3,1728 bps,5296 bps,3.00 pps,3.00 pps
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:54Z,10.145.102.237,2019-03-31T04:00:53Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:55Z,10.145.102.237,2019-03-31T04:00:54Z,1666,1324,342,10,6,4,10592 bps,2736 bps,6.00 pps,4.00 pps
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:56Z,10.145.102.237,2019-03-31T04:00:55Z,2807,886,1921,13,7,6,7088 bps,15368 bps,7.00 pps,6.00 pps
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:57Z,10.145.102.237,2019-03-31T04:00:56Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-2dbd623c7d3d,messenger_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T04:00:58Z,10.145.102.237,2019-03-31T04:00:57Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
