correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:02Z,10.145.102.237,2019-03-31T03:52:01Z,17089,4257,12832,55,29,26,34056 bps,102656 bps,29.00 pps,26.00 pps
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:03Z,10.145.102.237,2019-03-31T03:52:02Z,2805,1149,1656,19,12,7,9192 bps,13248 bps,12.00 pps,7.00 pps
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:04Z,10.145.102.237,2019-03-31T03:52:03Z,59789,18089,41700,106,59,47,144712 bps,333600 bps,59.00 pps,47.00 pps
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:05Z,10.145.102.237,2019-03-31T03:52:04Z,87461,7962,79499,139,73,66,63696 bps,635992 bps,73.00 pps,66.00 pps
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:06Z,10.145.102.237,2019-03-31T03:52:05Z,288767,23534,265233,405,165,240,188272 bps,2121864 bps,165.00 pps,240.00 pps
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:07Z,10.145.102.237,2019-03-31T03:52:06Z,139848,50030,89818,204,102,102,400240 bps,718544 bps,102.00 pps,102.00 pps
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:08Z,10.145.102.237,2019-03-31T03:52:07Z,1574930,109990,1464940,2006,807,1199,879920 bps,11719520 bps,807.00 pps,1199.00 pps
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:09Z,10.145.102.237,2019-03-31T03:52:08Z,1799636,79811,1719825,2231,879,1352,638488 bps,13758600 bps,879.00 pps,1352.00 pps
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:10Z,10.145.102.237,2019-03-31T03:52:09Z,484,484,0,1,1,0,3872 bps,0 bps,1.00 pps,0.00 pps
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:11Z,10.145.102.237,2019-03-31T03:52:10Z,320680,30075,290605,400,158,242,240600 bps,2324840 bps,158.00 pps,242.00 pps
corr-0ac9957fb207,netflix_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T03:52:12Z,10.145.102.237,2019-03-31T03:52:11Z,339668,27230,312438,528,266,262,217840 bps,2499504 bps,266.00 pps,262.00 pps
