correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-089a893aa117,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:24Z,10.145.102.237,2019-03-31T05:11:23Z,57250,11591,45659,180,99,81,92728 bps,365272 bps,99.00 pps,81.00 pps
corr-abd0b917e746,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:25Z,10.145.102.237,2019-03-31T05:11:24Z,93238,22987,70251,257,137,120,183896 bps,562008 bps,137.00 pps,120.00 pps
corr-bf4f07592976,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:26Z,10.145.102.237,2019-03-31T05:11:25Z,140464,14743,125721,272,134,138,117944 bps,1005768 bps,134.00 pps,138.00 pps
corr-107847732147,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:27Z,10.145.102.237,2019-03-31T05:11:26Z,2009768,75656,1934112,2192,627,1565,605248 bps,15472896 bps,627.00 pps,1565.00 pps
corr-02ea365beadf,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:28Z,10.145.102.237,2019-03-31T05:11:27Z,715316,17473,697843,810,232,578,139784 bps,5582744 bps,232.00 pps,578.00 pps
corr-2f9933f79d37,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:29Z,10.145.102.237,2019-03-31T05:11:28Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-069058ed1f54,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:30Z,10.145.102.237,2019-03-31T05:11:29Z,94388,2120,92268,105,30,75,16960 bps,738144 bps,30.00 pps,75.00 pps
corr-3dc8fe6aec83,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:31Z,10.145.102.237,2019-03-31T05:11:30Z,131830,5119,126711,168,52,116,40952 bps,1013688 bps,52.00 pps,116.00 pps
corr-efe69b4d5b8c,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:32Z,10.145.102.237,2019-03-31T05:11:31Z,108337,4911,103426,112,24,88,39288 bps,827408 bps,24.00 pps,88.00 pps
corr-bd00d2b38379,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:33Z,10.145.102.237,2019-03-31T05:11:32Z,321445,5689,315756,340,61,279,45512 bps,2526048 bps,61.00 pps,279.00 pps
corr-0ba0b039135b,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:34Z,10.145.102.237,2019-03-31T05:11:33Z,668574,29595,638979,597,69,528,236760 bps,5111832 bps,69.00 pps,528.00 pps
corr-4899ec56c130,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:35Z,10.145.102.237,2019-03-31T05:11:34Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-0865310c6097,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:36Z,10.145.102.237,2019-03-31T05:11:35Z,87590,1506,86084,93,21,72,12048 bps,688672 bps,21.00 pps,72.00 pps
corr-19315e08ddca,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:37Z,10.145.102.237,2019-03-31T05:11:36Z,2682,1745,937,16,9,7,13960 bps,7496 bps,9.00 pps,7.00 pps
corr-3c1a30b66b85,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:38Z,10.145.102.237,2019-03-31T05:11:37Z,537081,5574,531507,495,53,442,44592 bps,4252056 bps,53.00 pps,442.00 pps
corr-a5818ff83469,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:39Z,10.145.102.237,2019-03-31T05:11:38Z,105739,2368,103371,132,30,102,18944 bps,826968 bps,30.00 pps,102.00 pps
corr-c540143bc1ad,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:40Z,10.145.102.237,2019-03-31T05:11:39Z,2780,1788,992,8,4,4,14304 bps,7936 bps,4.00 pps,4.00 pps
corr-24393c032374,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:41Z,10.145.102.237,2019-03-31T05:11:40Z,97119,861,96258,91,8,83,6888 bps,770064 bps,8.00 pps,83.00 pps
corr-f98eda1bcd83,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:42Z,10.145.102.237,2019-03-31T05:11:41Z,68685,1140,67545,70,12,58,9120 bps,540360 bps,12.00 pps,58.00 pps
corr-3c533f278f95,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:43Z,10.145.102.237,2019-03-31T05:11:42Z,74191,997,73194,76,10,66,7976 bps,585552 bps,10.00 pps,66.00 pps
corr-868751279f42,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:44Z,10.145.102.237,2019-03-31T05:11:43Z,161395,18237,143158,172,34,138,145896 bps,1145264 bps,34.00 pps,138.00 pps
corr-8a4f5c67d809,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:45Z,10.145.102.237,2019-03-31T05:11:44Z,365255,2873,362382,344,34,310,22984 bps,2899056 bps,34.00 pps,310.00 pps
corr-1de6b16dab2e,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:46Z,10.145.102.237,2019-03-31T05:11:45Z,156466,997,155469,135,10,125,7976 bps,1243752 bps,10.00 pps,125.00 pps
corr-0596ef112cd0,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:47Z,10.145.102.237,2019-03-31T05:11:46Z,316586,1052,315534,269,11,258,8416 bps,2524272 bps,11.00 pps,258.00 pps
corr-e47702a38559,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:48Z,10.145.102.237,2019-03-31T05:11:47Z,160168,1961,158207,158,23,135,15688 bps,1265656 bps,23.00 pps,135.00 pps
corr-d50c0c7e4a79,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:49Z,10.145.102.237,2019-03-31T05:11:48Z,35290,272,35018,36,4,32,2176 bps,280144 bps,4.00 pps,32.00 pps
corr-9c3c36a11a6a,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:50Z,10.145.102.237,2019-03-31T05:11:49Z,526586,6742,519844,523,71,452,53936 bps,4158752 bps,71.00 pps,452.00 pps
corr-d31c7055e7f3,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:51Z,10.145.102.237,2019-03-31T05:11:50Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e89323d41ad3,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:52Z,10.145.102.237,2019-03-31T05:11:51Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-f481a33ed129,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:53Z,10.145.102.237,2019-03-31T05:11:52Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d09b6cad9b69,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:54Z,10.145.102.237,2019-03-31T05:11:53Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-3acb871fa0bf,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:55Z,10.145.102.237,2019-03-31T05:11:54Z,52021,3871,48150,80,30,50,30968 bps,385200 bps,30.00 pps,50.00 pps
corr-66b0f57d3635,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:56Z,10.145.102.237,2019-03-31T05:11:55Z,353237,6627,346610,325,29,296,53016 bps,2772880 bps,29.00 pps,296.00 pps
corr-e48605737f91,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:57Z,10.145.102.237,2019-03-31T05:11:56Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-c0746db5681d,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:58Z,10.145.102.237,2019-03-31T05:11:57Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-0b7a2ee07fb7,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:11:59Z,10.145.102.237,2019-03-31T05:11:58Z,168380,1065,167315,152,11,141,8520 bps,1338520 bps,11.00 pps,141.00 pps
corr-3ac0feeda1de,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:00Z,10.145.102.237,2019-03-31T05:11:59Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e045c3d27222,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:01Z,10.145.102.237,2019-03-31T05:12:00Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-b8692ca95349,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:02Z,10.145.102.237,2019-03-31T05:12:01Z,4149,2870,1279,10,5,5,22960 bps,10232 bps,5.00 pps,5.00 pps
corr-a120cefa4912,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:03Z,10.145.102.237,2019-03-31T05:12:02Z,342673,11028,331645,383,98,285,88224 bps,2653160 bps,98.00 pps,285.00 pps
corr-7aa55cba6f71,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:04Z,10.145.102.237,2019-03-31T05:12:03Z,237478,12109,225369,254,59,195,96872 bps,1802952 bps,59.00 pps,195.00 pps
corr-a691871250d6,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:05Z,10.145.102.237,2019-03-31T05:12:04Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-44b7ff0c09b7,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:06Z,10.145.102.237,2019-03-31T05:12:05Z,72307,1064,71243,72,8,64,8512 bps,569944 bps,8.00 pps,64.00 pps
corr-9dd10d30a71e,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:07Z,10.145.102.237,2019-03-31T05:12:06Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-a2a634d5f6b9,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:08Z,10.145.102.237,2019-03-31T05:12:07Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-1f820d36943b,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:09Z,10.145.102.237,2019-03-31T05:12:08Z,289927,1049,288878,239,14,225,8392 bps,2311024 bps,14.00 pps,225.00 pps
corr-fd3d7e31e91a,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:10Z,10.145.102.237,2019-03-31T05:12:09Z,170436,7390,163046,168,29,139,59120 bps,1304368 bps,29.00 pps,139.00 pps
corr-416d6777b84e,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:11Z,10.145.102.237,2019-03-31T05:12:10Z,421550,4015,417535,395,52,343,32120 bps,3340280 bps,52.00 pps,343.00 pps
corr-178f3f29d4a0,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:12Z,10.145.102.237,2019-03-31T05:12:11Z,66414,995,65419,68,10,58,7960 bps,523352 bps,10.00 pps,58.00 pps
corr-56ad8712948b,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:13Z,10.145.102.237,2019-03-31T05:12:12Z,94017,1443,92574,93,20,73,11544 bps,740592 bps,20.00 pps,73.00 pps
corr-2578551b3472,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:14Z,10.145.102.237,2019-03-31T05:12:13Z,4095,3233,862,8,5,3,25864 bps,6896 bps,5.00 pps,3.00 pps
corr-2ac75253ff05,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:15Z,10.145.102.237,2019-03-31T05:12:14Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-85c492c03b38,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:16Z,10.145.102.237,2019-03-31T05:12:15Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-37e1c5e8c49f,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:17Z,10.145.102.237,2019-03-31T05:12:16Z,38965,20371,18594,84,40,44,162968 bps,148752 bps,40.00 pps,44.00 pps
corr-558c89f5c85d,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:18Z,10.145.102.237,2019-03-31T05:12:17Z,604505,6394,598111,563,85,478,51152 bps,4784888 bps,85.00 pps,478.00 pps
corr-f4056026df45,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:19Z,10.145.102.237,2019-03-31T05:12:18Z,203550,4168,199382,199,28,171,33344 bps,1595056 bps,28.00 pps,171.00 pps
corr-b5a27baf6ed3,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:20Z,10.145.102.237,2019-03-31T05:12:19Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-f35c33b7e3d2,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:21Z,10.145.102.237,2019-03-31T05:12:20Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d3d623caf0ba,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:22Z,10.145.102.237,2019-03-31T05:12:21Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-57893a6faf7b,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:23Z,10.145.102.237,2019-03-31T05:12:22Z,4154,2766,1388,23,14,9,22128 bps,11104 bps,14.00 pps,9.00 pps
corr-65b38781e3a3,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:24Z,10.145.102.237,2019-03-31T05:12:23Z,10285,6991,3294,33,17,16,55928 bps,26352 bps,17.00 pps,16.00 pps
corr-ce3d8c71dc9b,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:25Z,10.145.102.237,2019-03-31T05:12:24Z,2947,1856,1091,10,5,5,14848 bps,8728 bps,5.00 pps,5.00 pps
corr-60bbd963668f,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:26Z,10.145.102.237,2019-03-31T05:12:25Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-de28965491f1,pinterest_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T05:12:27Z,10.145.102.237,2019-03-31T05:12:26Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
