correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-3cf468aeaabc,spotify_manual,0.015,10.145.102.237:45885.0-128.83.185.40:53.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:17.050100Z,10.145.102.237,2019-03-31T03:44:17.035600Z,218,80,138,2,1,1,44138 bps,76137 bps,68.96 pps,68.96 pps
corr-ae8366aa29b2,spotify_manual,0.362,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:17.416800Z,10.145.102.237,2019-03-31T03:44:17.054700Z,8162,2170,5992,21,11,10,47943 bps,132383 bps,30.38 pps,27.62 pps
corr-66fc4edc957e,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:19Z,10.145.102.237,2019-03-31T03:44:18Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-bddd57f084dd,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:20Z,10.145.102.237,2019-03-31T03:44:19Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-b54bef2ee20b,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:21Z,10.145.102.237,2019-03-31T03:44:20Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-fee1ba8eec11,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:22Z,10.145.102.237,2019-03-31T03:44:21Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-e7289ea9e062,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:23Z,10.145.102.237,2019-03-31T03:44:22Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-db7ca7973d6e,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:24Z,10.145.102.237,2019-03-31T03:44:23Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-b1a97db2af0b,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:25Z,10.145.102.237,2019-03-31T03:44:24Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ae7884466474,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:26Z,10.145.102.237,2019-03-31T03:44:25Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-25e3f31e0cea,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:27Z,10.145.102.237,2019-03-31T03:44:26Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-7e326ede03af,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:28Z,10.145.102.237,2019-03-31T03:44:27Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-fead571be442,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:29Z,10.145.102.237,2019-03-31T03:44:28Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-bbc323f910ea,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:30Z,10.145.102.237,2019-03-31T03:44:29Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-03e2389fe7d7,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:31Z,10.145.102.237,2019-03-31T03:44:30Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-ccd55cb8519c,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:32Z,10.145.102.237,2019-03-31T03:44:31Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-d6fa1bf0789d,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:33Z,10.145.102.237,2019-03-31T03:44:32Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-1dfcf5bbff59,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:34Z,10.145.102.237,2019-03-31T03:44:33Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-3c942ff39053,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:35Z,10.145.102.237,2019-03-31T03:44:34Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-72590381e5d4,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:36Z,10.145.102.237,2019-03-31T03:44:35Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
corr-8cc21c41f57b,spotify_manual,1,10.145.102.237:41968.0-157.240.19.19:443.0,USER_DATA_USAGE_MEASURES,2019-03-31T03:44:37Z,10.145.102.237,2019-03-31T03:44:36Z,0,0,0,0,0,0,0 bps,0 bps,0.00 pps,0.00 pps
