correlationId,appLabel,duration,flowKey,eventType,timeStamp,ueIpv4Addr,startTime,totalVolume,ulVolume,dlVolume,totalNbOfPackets,ulNbOfPackets,dlNbOfPackets,ulThroughput,dlThroughput,ulPacketThroughput,dlPacketThroughput
corr-05197fba9839,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:25Z,10.148.245.180,2019-03-31T13:50:24Z,4800,2691,2109,23,14,9,21528 bps,16872 bps,14.00 pps,9.00 pps
corr-a4e304a04346,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:26Z,10.148.245.180,2019-03-31T13:50:25Z,20749,6886,13863,60,30,30,55088 bps,110904 bps,30.00 pps,30.00 pps
corr-8e70aceee4ed,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:27Z,10.148.245.180,2019-03-31T13:50:26Z,10820,4283,6537,28,11,17,34264 bps,52296 bps,11.00 pps,17.00 pps
corr-2c64932aa286,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:28Z,10.148.245.180,2019-03-31T13:50:27Z,10386,3617,6769,35,17,18,28936 bps,54152 bps,17.00 pps,18.00 pps
corr-d4a9ec569777,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:29Z,10.148.245.180,2019-03-31T13:50:28Z,245211,15674,229537,362,177,185,125392 bps,1836296 bps,177.00 pps,185.00 pps
corr-5efcfe407442,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:30Z,10.148.245.180,2019-03-31T13:50:29Z,763213,18179,745034,799,217,582,145432 bps,5960272 bps,217.00 pps,582.00 pps
corr-203c52889c6c,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:31Z,10.148.245.180,2019-03-31T13:50:30Z,423487,13350,410137,452,114,338,106800 bps,3281096 bps,114.00 pps,338.00 pps
corr-e78866b5d811,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:32Z,10.148.245.180,2019-03-31T13:50:31Z,616195,10648,605547,582,100,482,85184 bps,4844376 bps,100.00 pps,482.00 pps
corr-60d98ddda00b,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:33Z,10.148.245.180,2019-03-31T13:50:32Z,234496,7777,226719,238,58,180,62216 bps,1813752 bps,58.00 pps,180.00 pps
corr-bd903407c6bf,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:34Z,10.148.245.180,2019-03-31T13:50:33Z,188439,8609,179830,216,69,147,68872 bps,1438640 bps,69.00 pps,147.00 pps
corr-17428a8cd0ff,twitter_manual,1.0,,USER_DATA_USAGE_MEASURES,2019-03-31T13:50:35Z,10.148.245.180,2019-03-31T13:50:34Z,76066,3000,73066,98,41,57,24000 bps,584528 bps,41.00 pps,57.00 pps
